deck,p_habit,metric,n_pairs,mean_gap_delta,std_gap_delta,ci_low,ci_high,direction
52,0.3,wordlen_mean,10,-0.003883158616,0.0119111374,-0.01084146554,0.00311146971,better
52,0.3,wordlen_std,10,4.29161911e-05,0.01349938779,-0.007667182847,0.008075328295,worse
52,0.3,wordlen_skew,10,-0.04180002794,0.08440592199,-0.09257391861,0.007380395153,better
52,0.3,wordlen_unique_mean,10,-0.01149232263,0.01698138754,-0.02224336309,-0.002292809155,better
52,0.3,wordlen_unique_std,10,-0.0004340809493,0.01794029308,-0.01121259151,0.01009088187,better
52,0.3,wordlen_unique_skew,10,-0.07216171539,0.08822740559,-0.1240019616,-0.0203027744,better
52,0.3,wordlen_autocorr,10,0.02357650218,0.1596343774,-0.07153231406,0.1133776697,worse
52,0.3,wordunique_mean,10,0.01804314489,0.03095217812,-0.0007498033336,0.03575185996,worse
52,0.3,wordunique_std,10,0.0162990084,0.04276993523,-0.009455974538,0.04068135574,worse
52,0.3,wordunique_skew,10,0.08522506864,0.2539378526,-0.05871474984,0.23557264,worse
52,0.3,wordchange_mean,10,0.009720555104,0.04206731854,-0.01496403641,0.03495997913,worse
52,0.3,wordchange_std,10,0.01304304748,0.06075570753,-0.02314286285,0.04806206983,worse
52,0.3,wordchange_skew,10,0.1034734861,0.480829782,-0.1962335156,0.3709760466,worse
52,0.3,worddist_max,10,-0.1498993559,0.0559464705,-0.1829129045,-0.1168858073,better
52,0.3,worddist_shape,10,-0.2402288564,0.1304148061,-0.3073491471,-0.1553006258,better
52,0.3,wordbias_mean,10,0.07816849876,0.06316729506,0.04076495682,0.1157667567,worse
52,0.3,wordbias_std,10,0.3066131053,0.1125377358,0.240100619,0.3707413314,worse
52,0.3,wordbias_skew,10,0.1746673804,0.05051582184,0.1479602752,0.2075331872,worse
52,0.3,wordbias_lines_mean,10,0.1934543612,0.04818218845,0.1646337,0.2203097166,worse
52,0.3,wordbias_lines_std,10,0.35088802,0.1162678779,0.2787277611,0.4149220174,worse
52,0.3,wordbias_lines_skew,10,0.1712470892,0.04852056767,0.1428094398,0.2005543351,worse
52,0.3,chardist_max,10,-0.003131558396,0.009691550948,-0.008905078987,0.002429866307,better
52,0.3,chardist_shape,10,-0.0006154733975,0.007174873817,-0.005058062278,0.003362863893,better
52,0.3,ngramdist_max,10,-0.003246765265,0.007445263432,-0.007565055045,0.001007371008,better
52,0.3,ngramdist_shape,10,0.008624214827,0.002875442863,0.006950849975,0.01030854217,worse
52,0.3,charbias_mean,10,0.00230152915,0.02210354479,-0.01133594585,0.01415986387,worse
52,0.3,charbias_std,10,0.004245717469,0.04743866477,-0.02334694945,0.03254265099,worse
52,0.3,charbias_skew,10,0.09385287415,0.07361277052,0.05075698639,0.1376903455,worse
52,0.3,charbias_words_mean,10,0.009219142666,0.03516224851,-0.01115953107,0.02964713166,worse
52,0.3,charbias_words_std,10,0.05006375744,0.03376522261,0.0303681803,0.06991359347,worse
52,0.3,charbias_words_skew,10,0.009327581922,0.02443549272,-0.004546786711,0.0244399366,worse
52,0.3,unique_words,10,-0.2013711379,0.03680926461,-0.2227312565,-0.1797137612,better
52,0.3,repeated_words,10,-0.05436723136,0.08314106298,-0.1046829727,-0.007948792997,better
52,0.3,tripled_words,10,-0.006092538005,0.01926629683,-0.01827761402,0,better
52,0.3,unique_chars,10,0.002219129059,0.01003656088,-0.00351362101,0.00822927026,worse
52,0.3,repeated_chars,10,0.002400326447,0.01270345058,-0.00534935812,0.009624918109,worse
52,0.3,tripled_chars,10,-0.006297526534,0.01402360234,-0.01537907619,0.001025311784,better
52,0.3,unique_ngrams,10,0.02509008161,0.01344850806,0.01715613567,0.03279510867,worse
52,0.3,entropy,10,-0.1093324247,0.04984493712,-0.1383845395,-0.08057788176,better
52,0.3,compression,10,-0.04807772513,0.01204984682,-0.05500751083,-0.04106069025,better
52,0.3,zipf,10,-0.05976104791,0.2262919131,-0.1944202538,0.07256303598,better
52,0.3,flipped_pairs,10,-0.0907438646,0.03546555976,-0.1099439543,-0.06829012217,better
52,0.5,wordlen_mean,10,0.001921809629,0.01801463692,-0.008406190799,0.01259950677,worse
52,0.5,wordlen_std,10,0.009613582582,0.02355453326,-0.003520318271,0.0239706087,worse
52,0.5,wordlen_skew,10,-0.02793406566,0.07308425483,-0.07173563406,0.01269487548,better
52,0.5,wordlen_unique_mean,10,-0.0124257971,0.02502861128,-0.02695972781,0.002227367787,better
52,0.5,wordlen_unique_std,10,0.00524026714,0.02004043727,-0.005767562182,0.01759504804,worse
52,0.5,wordlen_unique_skew,10,-0.07122238241,0.08547862515,-0.1237186477,-0.02430584758,better
52,0.5,wordlen_autocorr,10,0.02488560447,0.1412668192,-0.05983206402,0.1102562346,worse
52,0.5,wordunique_mean,10,0.04228658631,0.02884523675,0.02539406374,0.0596481671,worse
52,0.5,wordunique_std,10,0.02694617341,0.03680445829,0.005878335828,0.04866168831,worse
52,0.5,wordunique_skew,10,0.1457261889,0.1856977952,0.04504381371,0.2645531141,worse
52,0.5,wordchange_mean,10,0.00357208359,0.03649688399,-0.0186847093,0.02452638422,worse
52,0.5,wordchange_std,10,0.0154099962,0.034579831,-0.003831507545,0.0365606802,worse
52,0.5,wordchange_skew,10,0.2147530935,0.3116271892,0.02839091743,0.3906431762,worse
52,0.5,worddist_max,10,-0.2318086468,0.08474917475,-0.2819580116,-0.1838051626,better
52,0.5,worddist_shape,10,-0.02319722181,0.1419494336,-0.1076733032,0.05594293686,better
52,0.5,wordbias_mean,10,0.4519766898,0.09198872175,0.3983569752,0.5055807406,worse
52,0.5,wordbias_std,10,0.9322578516,0.1412498726,0.8458315725,1.012211811,worse
52,0.5,wordbias_skew,10,0.4883562587,0.03621259773,0.4705171882,0.5124804553,worse
52,0.5,wordbias_lines_mean,10,0.5284916027,0.05432438502,0.4980763515,0.5610023209,worse
52,0.5,wordbias_lines_std,10,0.8878197885,0.1097702455,0.8287654371,0.9573712318,worse
52,0.5,wordbias_lines_skew,10,0.4658485047,0.05666159705,0.4351152512,0.5028487564,worse
52,0.5,chardist_max,10,-0.01889029594,0.01767311725,-0.02955150145,-0.008630986514,better
52,0.5,chardist_shape,10,0.007613084388,0.006525288374,0.003776603799,0.01146399976,worse
52,0.5,ngramdist_max,10,-0.0122420526,0.01053344101,-0.01815659199,-0.005789796459,better
52,0.5,ngramdist_shape,10,0.02378052221,0.002272298963,0.02246362422,0.02513980867,worse
52,0.5,charbias_mean,10,-0.0006899716379,0.02223128687,-0.01341350783,0.01281128277,better
52,0.5,charbias_std,10,-0.006410126517,0.07089981846,-0.04771908907,0.03370938985,better
52,0.5,charbias_skew,10,0.06503306473,0.1037558397,0.0007916110755,0.1239875333,worse
52,0.5,charbias_words_mean,10,0.04256167955,0.0440555045,0.01703040197,0.06844256847,worse
52,0.5,charbias_words_std,10,0.08859812844,0.06753602785,0.0464389929,0.1264252449,worse
52,0.5,charbias_words_skew,10,0.007309297975,0.02800001462,-0.008735321064,0.02415739267,worse
52,0.5,unique_words,10,-0.3201469862,0.0905755734,-0.3713603123,-0.2646828691,better
52,0.5,repeated_words,10,-0.1999970203,0.1233347109,-0.2800751172,-0.1363844139,better
52,0.5,tripled_words,10,0,0,0,0,better
52,0.5,unique_chars,10,0.01349970177,0.009421422475,0.00822927026,0.01913998813,worse
52,0.5,repeated_chars,10,0.005168858756,0.01907512033,-0.005276507855,0.01690961731,worse
52,0.5,tripled_chars,10,0.002367003683,0.01981822808,-0.01036043902,0.01291319234,worse
52,0.5,unique_ngrams,10,0.07401062867,0.0097249559,0.06834225372,0.07976478431,worse
52,0.5,entropy,10,-0.3030763897,0.0395676444,-0.3265856958,-0.2802440684,better
52,0.5,compression,10,-0.02312139824,0.01879470857,-0.03415791823,-0.01220541973,better
52,0.5,zipf,10,0.4288949778,0.250484714,0.2685193529,0.5630836611,worse
52,0.5,flipped_pairs,10,-0.3417396203,0.05910804545,-0.378486348,-0.3074345522,better
52,1,wordlen_mean,10,0.02194592513,0.03501228461,0.001688130868,0.04263635504,worse
52,1,wordlen_std,10,0.01401076107,0.03714852273,-0.006890272905,0.03655565004,worse
52,1,wordlen_skew,10,0.02500338405,0.08787079551,-0.01746674969,0.08355772208,worse
52,1,wordlen_unique_mean,10,-0.0401551549,0.03310159464,-0.05853892393,-0.02035073665,better
52,1,wordlen_unique_std,10,0.02072413988,0.03158499445,0.004395458316,0.04113998265,worse
52,1,wordlen_unique_skew,10,-0.09798637177,0.1479478331,-0.1834863434,-0.01344000966,better
52,1,wordlen_autocorr,10,0.07152231634,0.1124744033,0.005544698114,0.137427968,worse
52,1,wordunique_mean,10,0.154934196,0.03656123317,0.1345797461,0.1776419452,worse
52,1,wordunique_std,10,0.07920176435,0.05086166047,0.05058067426,0.1103762336,worse
52,1,wordunique_skew,10,0.9509537499,0.2290013157,0.8203686928,1.090920743,worse
52,1,wordchange_mean,10,0.1178995968,0.04923184371,0.090952272,0.1480238788,worse
52,1,wordchange_std,10,-0.01258212675,0.07651420587,-0.05296217014,0.03572649328,better
52,1,wordchange_skew,10,1.046777881,0.2527745838,0.9028944138,1.196800184,worse
