text,model,configuration,deck,p_habit,seed,n_tokens,ciphertext_sha256,hurst,crossover_n,n_bits,wordlen_mean,wordlen_std,wordlen_skew,wordlen_unique_mean,wordlen_unique_std,wordlen_unique_skew,wordlen_autocorr,wordunique_mean,wordunique_std,wordunique_skew,wordchange_mean,wordchange_std,wordchange_skew,worddist_max,worddist_shape,wordbias_mean,wordbias_std,wordbias_skew,wordbias_lines_mean,wordbias_lines_std,wordbias_lines_skew,chardist_max,chardist_shape,ngramdist_max,ngramdist_shape,charbias_mean,charbias_std,charbias_skew,charbias_words_mean,charbias_words_std,charbias_words_skew,unique_words,repeated_words,tripled_words,unique_chars,repeated_chars,tripled_chars,unique_ngrams,entropy,compression,zipf,flipped_pairs,distance_eva_basic
52_01_10_word_lines,greshko_published,Greshko published,52,,1,20845,c7fca1aa3ea0e8c93dd507c25e9b9bb47f6c39fd2d2767c907c89fa3d548d9e9,0.512,33118,500000,5.26792561,1.63746827,0.09441322105,5.427354191,1.657236329,0.1389697539,-0.03349402526,1.033391431,0.5693116995,3.145038307,1.00714298,0.5832336933,3.274193043,6.62,1.1532,1.864739684,0.547834668,-1.031265173,1.861889083,0.5494998584,-1.031882837,0.1304108349,0.05306308831,137.47,8.106679327,0.4214045964,0.1649963793,4.755083419,1.202212322,0.3459070738,0.869193964,151.73,0.00135,0,18.04,0.06831277913,0.00629665856,281.82,1.502402138,0.4021306587,10.71843669,0.01294756098,4.720418328
52_02_10_word_lines,greshko_published,Greshko published,52,,2,20936,d3a2582879559918f1935ba09c889fdc61a703ae3d28461903b2fa7c9b506e43,0.518,21937,500000,5.250600971,1.636380675,0.05895298359,5.3944599,1.650990106,0.1245864366,-0.02964296365,1.035774629,0.571930501,3.088438976,1.009252799,0.5632858141,2.956305581,6.6,1.1232,1.869921561,0.542873976,-1.058785645,1.871986235,0.5392973338,-1.039152837,0.1299859448,0.05325446286,136.61,7.987981924,0.4105903052,0.1718302586,4.604535391,1.205618528,0.350304281,0.8765980408,152.37,0.0016,0,18.1,0.06786263804,0.006568737946,284.39,1.511708802,0.4041233996,10.17462591,0.01424417476,4.855233696
52_03_10_word_lines,greshko_published,Greshko published,52,,3,20963,d1511fb62e1a853b9d1a0cf4878488184227227ec7f7032ef03dadd9b3ab9d6a,0.549,33118,500000,5.266449507,1.631858239,0.07895443995,5.411294977,1.656483757,0.1250326803,-0.02689021944,1.031727201,0.5668351734,3.181787787,1.008848577,0.5524482867,2.891770044,6.42,1.0408,1.875702874,0.5338916424,-1.045522415,1.873640348,0.5348856872,-1.044932617,0.1301249082,0.05288558651,137.13,8.081667486,0.4119075921,0.1700717854,4.74280432,1.210249646,0.3482042143,0.8621916883,152.84,0.00185,0,18.17,0.06768359159,0.00607724634,282.65,1.504329531,0.4034421829,9.948386361,0.01239852217,4.807957408
52_04_10_word_lines,greshko_published,Greshko published,52,,4,20978,0afd7792b883039248b560388193a4b0d7e3b8c7d3d86b824b32fe9df74c800f,0.546,14530,500000,5.243321154,1.622130137,0.0681044284,5.386932688,1.639506527,0.1217749614,-0.04443569839,1.03352898,0.5670765947,3.126858018,1.011833578,0.5659849109,2.926731262,6.55,1.0984,1.875815756,0.5343368212,-1.045670017,1.863076008,0.5447144963,-1.015558174,0.1289354718,0.05308855892,135.34,7.956288831,0.4162010645,0.1760226266,4.72899077,1.204075603,0.3451661332,0.9065504949,152.25,0.00135,0,18.15,0.06688956691,0.005983651416,285.13,1.513670936,0.4047826416,9.394254538,0.01185,4.866122482
52_05_10_word_lines,greshko_published,Greshko published,52,,5,20850,0bcc3d7d63cb8cfb66a9dcb17c93b7de792294025f45da2f6f4addbae6586de6,0.547,21937,500000,5.25535,1.61865435,0.03055182442,5.393301831,1.631415232,0.09650157253,-0.02515453131,1.02914006,0.5619278605,3.11139263,1.009338942,0.5415876496,2.858438309,6.44,1.1292,1.880076823,0.5345899698,-1.099307037,1.884205075,0.527718143,-1.093238377,0.1306259023,0.05298946537,137.3,7.998328155,0.4157888644,0.1703618305,4.697503896,1.20620279,0.352389593,0.8753316545,153.91,0.00125,0,18.16,0.06663445807,0.005924567513,284.35,1.515333557,0.4044818517,9.665303314,0.01445,4.933652374
52_06_10_word_lines,greshko_published,Greshko published,52,,6,20969,13a1933d66bc678596c5eee8a62ba5fc065eb81d608e22829677223eb44d7d6c,0.54,33118,500000,5.273225598,1.600208026,0.03228936788,5.39342114,1.619995345,0.09225145901,-0.03397213053,1.030135829,0.5565858808,3.040260102,1.003242452,0.5356644514,2.710963391,6.5,1.1932,1.892192874,0.5293218129,-1.126280099,1.886710436,0.5325771564,-1.108283452,0.128821721,0.05286582069,136,8.090596713,0.4125260351,0.174030686,5.204484347,1.204338733,0.3560371066,0.8806317045,154.54,0.00095,0,18.25,0.06765101726,0.006469173309,282.91,1.509907821,0.4046523916,9.163839912,0.00934138756,5.0531087
52_07_10_word_lines,greshko_published,Greshko published,52,,7,20920,cc963715a568ee9eab5be0c86ddcc07092bfcff2b77f29a6aaa613677d4374d6,0.557,9624,500000,5.27115,1.600644878,0.03995368937,5.397801381,1.624848482,0.08878375537,-0.01921446607,1.027869657,0.5577612248,3.017747671,1.003296395,0.5293231612,2.665664461,6.63,1.2232,1.879743953,0.5369427228,-1.089501391,1.876309833,0.5418758244,-1.098828461,0.1308584805,0.05290505504,137.99,8.050644321,0.4167935915,0.1693304701,4.806995121,1.206351787,0.3516777754,0.8180164429,153.25,0.0021,0,18.15,0.06886961777,0.006262990461,283.67,1.508935648,0.4035569589,8.193395398,0.0137,5.000800402
52_08_10_word_lines,greshko_published,Greshko published,52,,8,20958,5277cda03b9b8827a8b03cc69ad43ccc33beeb131728b5b9b0a1e133a4e87748,0.54,21937,500000,5.255107692,1.594161867,0.02601282059,5.390386613,1.615890116,0.07021993745,-0.04040957905,1.028194817,0.5573486395,2.947834557,1.002533319,0.5452310642,2.907609121,6.11,1.068,1.875651559,0.5302438596,-1.025683886,1.875215385,0.5346211489,-1.050855572,0.1298460667,0.05269864113,136.59,8.061170343,0.4175222113,0.1739172616,4.597663729,1.2069571,0.3534830725,0.831389612,152.72,0.0023,0,18.21,0.06657090969,0.005816597351,282.49,1.509118273,0.4039238295,11.18993815,0.01343461538,5.124196378
52_09_10_word_lines,greshko_published,Greshko published,52,,9,20975,b0103827eeda94586dcf0f23d2647f00075dca494616fc04fed43c9965fa843a,0.581,9624,500000,5.252482927,1.622100768,0.02381561065,5.38894064,1.634815406,0.08725956386,-0.03729571753,1.029565277,0.5637075862,3.151960713,1.007448092,0.5594235291,2.936124489,6.44,1.1048,1.873102987,0.5404416209,-1.064746595,1.874244701,0.5354301988,-1.05156223,0.129231052,0.05286949534,135.82,8.023887261,0.4167410105,0.1736388995,5.18845389,1.207569687,0.3515190869,0.8773351981,152.79,0.00185,0,18.33,0.06736731667,0.005932797292,283.44,1.505966028,0.4034184287,9.599808073,0.01125,4.930659397
52_10_10_word_lines,greshko_published,Greshko published,52,,10,20945,48d7271e66c6c18ff778c4e81a23039805edb7c90b42aa872707dc4a2e640302,0.566,33118,500000,5.279567073,1.617293827,0.08178840093,5.428420933,1.642256511,0.1207975605,-0.05274995111,1.026424772,0.5528469864,3.000532447,1.01116335,0.578927973,3.210736268,6.42,1.0544,1.8810103,0.5266130584,-1.050364026,1.8740372,0.5344343647,-1.04252585,0.1303912914,0.05298228967,137.77,8.023529035,0.4125292798,0.1711667709,4.843063211,1.210214862,0.3510900903,0.8557362721,153.17,0.00125,0,18.11,0.0671907609,0.005950639629,285.26,1.506002024,0.4032523452,10.28475336,0.01339756098,4.878675935
