model,configuration,p_habit,deck,n_runs,hurst_mean,hurst_std,hurst_ci_low,hurst_ci_high,distance_eva_basic_mean,distance_eva_basic_std,distance_eva_basic_ci_low,distance_eva_basic_ci_high
greshko_published,Greshko published,,52,10,0.5456,0.02045700097,0.5334,0.5579,4.91708251,0.1189534038,4.848460157,4.98861171
greshko_published,Greshko published,,78,10,0.5333,0.01449176011,0.5244,0.5417,5.050949892,0.0953181623,4.993985241,5.108746225
greshko_published,Greshko published,,both,20,0.53945,0.01837181766,0.53165,0.54725,4.984016201,0.1253881467,4.931159554,5.036657713
habit,p=0,0,52,10,0.5366,0.01476632806,0.5281,0.5455,4.917730493,0.09791914237,4.862821609,4.980968273
habit,p=0,0,78,10,0.5273,0.02580288528,0.5119,0.5423,4.968093982,0.1326991516,4.891354265,5.04695301
habit,p=0,0,both,20,0.53195,0.02100996004,0.52285,0.5406,4.942912237,0.1164061435,4.894099156,4.994641534
habit,p=0.3,0.3,52,10,0.5865,0.02597969292,0.571,0.6015,4.963344115,0.0970892382,4.908362663,5.023113072
habit,p=0.3,0.3,78,10,0.5824,0.01590387793,0.5735,0.5922,5.041724566,0.157934621,4.943459581,5.128605938
habit,p=0.3,0.3,both,20,0.58445,0.02106999613,0.5753,0.59375,5.00253434,0.1337799564,4.945142234,5.058129059
habit,p=0.5,0.5,52,10,0.6221,0.02316822537,0.6075,0.6344,5.332311311,0.1877361505,5.216396808,5.43630744
habit,p=0.5,0.5,78,10,0.6213,0.02321421978,0.6073,0.6345,5.291139004,0.1697425532,5.189203303,5.388948708
habit,p=0.5,0.5,both,20,0.6217,0.02257641993,0.6119,0.63090125,5.311725157,0.1754681502,5.234732644,5.385677597
habit,p=1,1,52,10,0.7046,0.03445512379,0.6843,0.7247,8.246822312,0.2109991397,8.125193911,8.371898399
habit,p=1,1,78,10,0.7391,0.0369186794,0.7172,0.7598,8.118108031,0.1760222373,8.014804325,8.21831191
habit,p=1,1,both,20,0.72185,0.03900239534,0.70525,0.73845,8.182465172,0.2003125209,8.099099043,8.269720327
